Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
print-birmingham-alabama-1885,"Birmingham, Alabama (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Birmingham, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Alabama, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",birmingham-alabama-1885-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/birmingham-alabama-1885.jpg,1,"Birmingham, Alabama - 1885 Sanborn Map",active
print-birmingham-alabama-1885,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",birmingham-alabama-1885-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-birmingham-alabama-1885,,,,,,,TRUE,Size,"Large (20¼ × 24"")",birmingham-alabama-1885-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-montgomery-alabama-1884,"Montgomery, Alabama (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Montgomery, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Alabama, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",montgomery-alabama-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/montgomery-alabama-1884.jpg,1,"Montgomery, Alabama - 1884 Sanborn Map",active
print-montgomery-alabama-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",montgomery-alabama-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-montgomery-alabama-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",montgomery-alabama-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-san-diego-california-1887,"San Diego, California (1887)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1887, showcasing the architectural layout and Victorian-era typography of San Diego, California.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, California, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",san-diego-california-1887-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_California/san-diego-california-1887.jpg,1,"San Diego, California - 1887 Sanborn Map",active
print-san-diego-california-1887,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",san-diego-california-1887-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-san-diego-california-1887,,,,,,,TRUE,Size,"Large (20¼ × 24"")",san-diego-california-1887-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-colorado-springs-colorado-1890,"Colorado Springs, Colorado (1890)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1890, showcasing the architectural layout and Victorian-era typography of Colorado Springs, Colorado.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Colorado, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",colorado-springs-colorado-1890-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Colorado/colorado-springs-colorado-1890.jpg,1,"Colorado Springs, Colorado - 1890 Sanborn Map",active
print-colorado-springs-colorado-1890,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",colorado-springs-colorado-1890-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-colorado-springs-colorado-1890,,,,,,,TRUE,Size,"Large (20¼ × 24"")",colorado-springs-colorado-1890-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-pueblo-colorado-1883,"Pueblo, Colorado (1883)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1883, showcasing the architectural layout and Victorian-era typography of Pueblo, Colorado.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Colorado, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",pueblo-colorado-1883-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Colorado/pueblo-colorado-1883.jpg,1,"Pueblo, Colorado - 1883 Sanborn Map",active
print-pueblo-colorado-1883,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",pueblo-colorado-1883-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-pueblo-colorado-1883,,,,,,,TRUE,Size,"Large (20¼ × 24"")",pueblo-colorado-1883-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-new-haven-connecticut-1886,"New Haven, Connecticut (1886)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1886, showcasing the architectural layout and Victorian-era typography of New Haven, Connecticut.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Connecticut, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",new-haven-connecticut-1886-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Connecticut/new-haven-connecticut-1886.jpg,1,"New Haven, Connecticut - 1886 Sanborn Map",active
print-new-haven-connecticut-1886,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",new-haven-connecticut-1886-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-new-haven-connecticut-1886,,,,,,,TRUE,Size,"Large (20¼ × 24"")",new-haven-connecticut-1886-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-augusta-georgia-1884,"Augusta, Georgia (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Augusta, Georgia.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Georgia, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",augusta-georgia-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Georgia/augusta-georgia-1884.jpg,1,"Augusta, Georgia - 1884 Sanborn Map",active
print-augusta-georgia-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",augusta-georgia-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-augusta-georgia-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",augusta-georgia-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-macon-georgia-1884,"Macon, Georgia (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Macon, Georgia.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Georgia, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",macon-georgia-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Georgia/macon-georgia-1884.jpg,1,"Macon, Georgia - 1884 Sanborn Map",active
print-macon-georgia-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",macon-georgia-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-macon-georgia-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",macon-georgia-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
