Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
anniston-alabama-1895,"Anniston, Alabama (1895)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1895, showcasing the architectural layout and Victorian-era typography of Anniston, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Anniston, 1895, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",anniston-alabama-1895-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/anniston-alabama-1895.jpg,1,"Anniston, Alabama - 1895 Sanborn Fire Insurance Map",active
anniston-alabama-1895,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",anniston-alabama-1895-medium,0,,deny,manual,299.00,,true,true,,,,active
anniston-alabama-1895,,,,,,,,Size,"Large (20⅜ × 24"")",anniston-alabama-1895-large,0,,deny,manual,465.00,,true,true,,,,active
anniston-alabama-1905,"Anniston, Alabama (1905)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1905, showcasing the architectural layout and Victorian-era typography of Anniston, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Anniston, 1905, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",anniston-alabama-1905-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/anniston-alabama-1905.jpg,1,"Anniston, Alabama - 1905 Sanborn Fire Insurance Map",active
anniston-alabama-1905,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",anniston-alabama-1905-medium,0,,deny,manual,299.00,,true,true,,,,active
anniston-alabama-1905,,,,,,,,Size,"Large (20⅜ × 24"")",anniston-alabama-1905-large,0,,deny,manual,465.00,,true,true,,,,active
anniston-alabama-1910,"Anniston, Alabama (1910)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1910, showcasing the architectural layout and Victorian-era typography of Anniston, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Anniston, 1910, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",anniston-alabama-1910-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/anniston-alabama-1910.jpg,1,"Anniston, Alabama - 1910 Sanborn Fire Insurance Map",active
anniston-alabama-1910,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",anniston-alabama-1910-medium,0,,deny,manual,299.00,,true,true,,,,active
anniston-alabama-1910,,,,,,,,Size,"Large (20⅜ × 24"")",anniston-alabama-1910-large,0,,deny,manual,465.00,,true,true,,,,active
bessemer-alabama-1904,"Bessemer, Alabama (1904)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1904, showcasing the architectural layout and Victorian-era typography of Bessemer, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Bessemer, 1904, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",bessemer-alabama-1904-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/bessemer-alabama-1904.jpg,1,"Bessemer, Alabama - 1904 Sanborn Fire Insurance Map",active
